Hypermarcas | location | São_Paulo && Brazil | areaTotal | 8514837.14  (square kilometres) && Hypermarcas | location | Brazil && Hypermarcas | industry | Pharmaceuticals
Death_on_a_Factory_Farm | director | Tom_Simon && Death_on_a_Factory_Farm | producer | Tom_Simon && Death_on_a_Factory_Farm | producer | Sarah_Teale && Death_on_a_Factory_Farm | director | Sarah_Teale
Death_on_a_Factory_Farm | director | Tom_Simon && Death_on_a_Factory_Farm | producer | Tom_Simon && Death_on_a_Factory_Farm | producer | Sarah_Teale && Death_on_a_Factory_Farm | director | Sarah_Teale
Trane | foundingDate | 1913-01-01 && Trane | numberOfEmployees | 29000 && Trane | product | HVAC && Trane | industry | Building_materials
Trane | foundingDate | 1913-01-01 && Trane | numberOfEmployees | 29000 && Trane | product | HVAC && Trane | industry | Building_materials
Trane | foundingDate | 1913-01-01 && Trane | numberOfEmployees | 29000 && Trane | product | HVAC && Trane | industry | Building_materials
It's_Great_to_Be_Young_(1956_film) | starring | John_Mills && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | gross | 282838.0 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel
It's_Great_to_Be_Young_(1956_film) | starring | John_Mills && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | gross | 282838.0 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel
It's_Great_to_Be_Young_(1956_film) | starring | John_Mills && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | gross | 282838.0 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel
It's_Great_to_Be_Young_(1956_film) | editing | Max_Benedict && Max_Benedict | activeYearsStartYear | 1947-01-01 && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel
It's_Great_to_Be_Young_(1956_film) | editing | Max_Benedict && Max_Benedict | activeYearsStartYear | 1947-01-01 && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel
It's_Great_to_Be_Young_(1956_film) | editing | Max_Benedict && Max_Benedict | activeYearsStartYear | 1947-01-01 && It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel
"ALCO_RS-3 | buildDate | ""May 1950 - August 1956"" && ALCO_RS-3 | engine | V12_engine && ALCO_RS-3 | cylinderCount | 12 && ALCO_RS-3 | length | 17068.8 (millimetres)"
"ALCO_RS-3 | buildDate | ""May 1950 - August 1956"" && ALCO_RS-3 | engine | V12_engine && ALCO_RS-3 | cylinderCount | 12 && ALCO_RS-3 | length | 17068.8 (millimetres)"
"ALCO_RS-3 | buildDate | ""May 1950 - August 1956"" && ALCO_RS-3 | engine | V12_engine && ALCO_RS-3 | cylinderCount | 12 && ALCO_RS-3 | length | 17068.8 (millimetres)"
University_of_Burgundy | numberOfUndergraduateStudents | 16800 && University_of_Burgundy | staff | 2900 && University_of_Burgundy | numberOfStudents | 27400 && University_of_Burgundy | numberOfDoctoralStudents | 1299
University_of_Burgundy | numberOfUndergraduateStudents | 16800 && University_of_Burgundy | staff | 2900 && University_of_Burgundy | numberOfStudents | 27400 && University_of_Burgundy | numberOfDoctoralStudents | 1299
Chinabank | foundationPlace | Manila && Manila | type | Capital_city && Chinabank | type | Public_company && Chinabank | foundationPlace | Insular_Government_of_the_Philippine_Islands
Chinabank | foundationPlace | Manila && Manila | type | Capital_city && Chinabank | type | Public_company && Chinabank | foundationPlace | Insular_Government_of_the_Philippine_Islands
Chinabank | foundationPlace | Manila && Manila | type | Capital_city && Chinabank | type | Public_company && Chinabank | foundationPlace | Insular_Government_of_the_Philippine_Islands
Liselotte_Grschebina | birthPlace | German_Empire && German_Empire | currency | German_Papiermark && Liselotte_Grschebina | birthPlace | Karlsruhe && Karlsruhe | elevationAboveTheSeaLevel | 115.0
Liselotte_Grschebina | birthPlace | German_Empire && German_Empire | currency | German_Papiermark && Liselotte_Grschebina | birthPlace | Karlsruhe && Karlsruhe | elevationAboveTheSeaLevel | 115.0
Liselotte_Grschebina | birthPlace | German_Empire && German_Empire | currency | German_Papiermark && Liselotte_Grschebina | birthPlace | Karlsruhe && Karlsruhe | elevationAboveTheSeaLevel | 115.0
It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel && It's_Great_to_Be_Young_(1956_film) | musicComposer | Louis_Levy && It's_Great_to_Be_Young_(1956_film) | writer | Ted_Willis
It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel && It's_Great_to_Be_Young_(1956_film) | musicComposer | Louis_Levy && It's_Great_to_Be_Young_(1956_film) | writer | Ted_Willis
It's_Great_to_Be_Young_(1956_film) | runtime | 94.0 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel && It's_Great_to_Be_Young_(1956_film) | musicComposer | Louis_Levy && It's_Great_to_Be_Young_(1956_film) | writer | Ted_Willis
Ciudad_Ayala | populationDensity | 1604.0 && Morelos | country | Mexico && Ciudad_Ayala | isPartOf | Morelos && Morelos | areaTotal | 4879.0
Ciudad_Ayala | populationDensity | 1604.0 && Morelos | country | Mexico && Ciudad_Ayala | isPartOf | Morelos && Morelos | areaTotal | 4879.0
Ciudad_Ayala | populationDensity | 1604.0 && Morelos | country | Mexico && Ciudad_Ayala | isPartOf | Morelos && Morelos | areaTotal | 4879.0
Bedford_Aerodrome | runwayLength | 1095.0 && Bedford_Aerodrome | location | Thurleigh && Bedford_Aerodrome | icaoLocationIdentifier | EGBF && Bedford_Aerodrome | elevationAboveTheSeaLevel | 83.2104
Bedford_Aerodrome | runwayLength | 1095.0 && Bedford_Aerodrome | location | Thurleigh && Bedford_Aerodrome | icaoLocationIdentifier | EGBF && Bedford_Aerodrome | elevationAboveTheSeaLevel | 83.2104
Bedford_Aerodrome | runwayLength | 1095.0 && Bedford_Aerodrome | location | Thurleigh && Bedford_Aerodrome | icaoLocationIdentifier | EGBF && Bedford_Aerodrome | elevationAboveTheSeaLevel | 83.2104
It's_Great_to_Be_Young_(1956_film) | editing | Max_Benedict && Max_Benedict | deathYear | 1986 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel && It's_Great_to_Be_Young_(1956_film) | musicComposer | Louis_Levy
It's_Great_to_Be_Young_(1956_film) | editing | Max_Benedict && Max_Benedict | deathYear | 1986 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel && It's_Great_to_Be_Young_(1956_film) | musicComposer | Louis_Levy
It's_Great_to_Be_Young_(1956_film) | editing | Max_Benedict && Max_Benedict | deathYear | 1986 && It's_Great_to_Be_Young_(1956_film) | director | Cyril_Frankel && It's_Great_to_Be_Young_(1956_film) | musicComposer | Louis_Levy
Alan_B._Miller_Hall | owner | College_of_William_&_Mary && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | completionDate | 2009-06-01 && Alan_B._Miller_Hall | owner | College_of_William_&_Mary
Alan_B._Miller_Hall | owner | College_of_William_&_Mary && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | completionDate | 2009-06-01 && Alan_B._Miller_Hall | owner | College_of_William_&_Mary
Alan_B._Miller_Hall | owner | College_of_William_&_Mary && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | completionDate | 2009-06-01 && Alan_B._Miller_Hall | owner | College_of_William_&_Mary
Bedford_Aerodrome | cityServed | Bedford_Autodrome && Thurleigh | country | United_Kingdom && Bedford_Aerodrome | location | Thurleigh && Thurleigh | postalCode | MK44
Bedford_Aerodrome | cityServed | Bedford_Autodrome && Thurleigh | country | United_Kingdom && Bedford_Aerodrome | location | Thurleigh && Thurleigh | postalCode | MK44
English_Without_Tears | runtime | 89.0 && English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | producer | Anatole_de_Grunwald
English_Without_Tears | runtime | 89.0 && English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | producer | Anatole_de_Grunwald
English_Without_Tears | runtime | 89.0 && English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | producer | Anatole_de_Grunwald
Liselotte_Grschebina | nationality | Israel && German_Empire | foundingDate | 1871-01-01 && Liselotte_Grschebina | birthPlace | German_Empire && Liselotte_Grschebina | professionalField | Photographer
Liselotte_Grschebina | nationality | Israel && German_Empire | foundingDate | 1871-01-01 && Liselotte_Grschebina | birthPlace | German_Empire && Liselotte_Grschebina | professionalField | Photographer
Liselotte_Grschebina | nationality | Israel && German_Empire | foundingDate | 1871-01-01 && Liselotte_Grschebina | birthPlace | German_Empire && Liselotte_Grschebina | professionalField | Photographer
Mexico | currency | Mexican_peso && Bionico | course | Dessert && Dessert | dishVariation | Sandesh_(confectionery) && Bionico | country | Mexico
Mexico | currency | Mexican_peso && Bionico | course | Dessert && Dessert | dishVariation | Sandesh_(confectionery) && Bionico | country | Mexico
Mexico | currency | Mexican_peso && Bionico | course | Dessert && Dessert | dishVariation | Sandesh_(confectionery) && Bionico | country | Mexico
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland"
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland"
"11th_Mississippi_Infantry_Monument | established | 2000 && 11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania && 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania && Adams_County,_Pennsylvania | hasToItsSoutheast | Carroll_County,_Maryland"
English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | director | Harold_French && English_Without_Tears | cinematography | Bernard_Knowles && English_Without_Tears | producer | Anatole_de_Grunwald
English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | director | Harold_French && English_Without_Tears | cinematography | Bernard_Knowles && English_Without_Tears | producer | Anatole_de_Grunwald
English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | director | Harold_French && English_Without_Tears | cinematography | Bernard_Knowles && English_Without_Tears | producer | Anatole_de_Grunwald
Super_Capers | editing | Stacy_Katzman && Super_Capers | starring | Michael_Rooker && Super_Capers | starring | Tom_Sizemore && Super_Capers | language | English_language
Super_Capers | editing | Stacy_Katzman && Super_Capers | starring | Michael_Rooker && Super_Capers | starring | Tom_Sizemore && Super_Capers | language | English_language
Super_Capers | editing | Stacy_Katzman && Super_Capers | starring | Michael_Rooker && Super_Capers | starring | Tom_Sizemore && Super_Capers | language | English_language
"Aaron_Turner | activeYearsStartYear | ""1995""^^xsd:gYear && Aaron_Turner | associatedBand/associatedMusicalArtist | Lotus_Eaters_(band) && Aaron_Turner | genre | Black_metal && Aaron_Turner | activeYearsStartYear | 1995"
"Aaron_Turner | activeYearsStartYear | ""1995""^^xsd:gYear && Aaron_Turner | associatedBand/associatedMusicalArtist | Lotus_Eaters_(band) && Aaron_Turner | genre | Black_metal && Aaron_Turner | activeYearsStartYear | 1995"
"Aaron_Turner | activeYearsStartYear | ""1995""^^xsd:gYear && Aaron_Turner | associatedBand/associatedMusicalArtist | Lotus_Eaters_(band) && Aaron_Turner | genre | Black_metal && Aaron_Turner | activeYearsStartYear | 1995"
McVeagh_of_the_South_Seas | director | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | distributor | Alliance_Films_Corporation && McVeagh_of_the_South_Seas | director | Gregory_Allen && McVeagh_of_the_South_Seas | imdbId | 0004319
McVeagh_of_the_South_Seas | director | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | distributor | Alliance_Films_Corporation && McVeagh_of_the_South_Seas | director | Gregory_Allen && McVeagh_of_the_South_Seas | imdbId | 0004319
McVeagh_of_the_South_Seas | director | Harry_Carey_(actor_born_1878) && McVeagh_of_the_South_Seas | distributor | Alliance_Films_Corporation && McVeagh_of_the_South_Seas | director | Gregory_Allen && McVeagh_of_the_South_Seas | imdbId | 0004319
"Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | location | Virginia && Mason_School_of_Business | country | United_States"
"Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | location | Virginia && Mason_School_of_Business | country | United_States"
"Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | location | Virginia && Mason_School_of_Business | country | United_States"
Bedford_Aerodrome | location | Thurleigh && Thurleigh | postalCode | MK44 && Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && MotorSport_Vision | foundedBy | Peter_Ogden
Bedford_Aerodrome | location | Thurleigh && Thurleigh | postalCode | MK44 && Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && MotorSport_Vision | foundedBy | Peter_Ogden
Bedford_Aerodrome | location | Thurleigh && Thurleigh | postalCode | MK44 && Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && MotorSport_Vision | foundedBy | Peter_Ogden
"ALCO_RS-3 | buildDate | ""May 1950 - August 1956"" && ALCO_RS-3 | engine | V12_engine && ALCO_RS-3 | powerType | Diesel-electric_transmission && ALCO_RS-3 | length | 17068.8 (millimetres)"
"ALCO_RS-3 | buildDate | ""May 1950 - August 1956"" && ALCO_RS-3 | engine | V12_engine && ALCO_RS-3 | powerType | Diesel-electric_transmission && ALCO_RS-3 | length | 17068.8 (millimetres)"
"ALCO_RS-3 | buildDate | ""May 1950 - August 1956"" && ALCO_RS-3 | engine | V12_engine && ALCO_RS-3 | powerType | Diesel-electric_transmission && ALCO_RS-3 | length | 17068.8 (millimetres)"
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && Bedford_Aerodrome | runwayLength | 1095.0 && Bedford_Aerodrome | cityServed | Bedford_Autodrome && Bedford_Aerodrome | location | Thurleigh
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && Bedford_Aerodrome | runwayLength | 1095.0 && Bedford_Aerodrome | cityServed | Bedford_Autodrome && Bedford_Aerodrome | location | Thurleigh
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && Bedford_Aerodrome | runwayLength | 1095.0 && Bedford_Aerodrome | cityServed | Bedford_Autodrome && Bedford_Aerodrome | location | Thurleigh
Super_Capers | distributor | Lionsgate && Super_Capers | starring | Justin_Whalin && Super_Capers | distributor | Roadside_Attractions && Roadside_Attractions | foundingYear | 2003-01-01
Super_Capers | distributor | Lionsgate && Super_Capers | starring | Justin_Whalin && Super_Capers | distributor | Roadside_Attractions && Roadside_Attractions | foundingYear | 2003-01-01
Super_Capers | distributor | Lionsgate && Super_Capers | starring | Justin_Whalin && Super_Capers | distributor | Roadside_Attractions && Roadside_Attractions | foundingYear | 2003-01-01
Super_Capers | starring | Michael_Rooker && Super_Capers | distributor | Lionsgate && Super_Capers | starring | Tom_Sizemore && Super_Capers | distributor | Roadside_Attractions
Super_Capers | starring | Michael_Rooker && Super_Capers | distributor | Lionsgate && Super_Capers | starring | Tom_Sizemore && Super_Capers | distributor | Roadside_Attractions
Super_Capers | starring | Michael_Rooker && Super_Capers | distributor | Lionsgate && Super_Capers | starring | Tom_Sizemore && Super_Capers | distributor | Roadside_Attractions
Pontiac_Rageous | productionStartYear | 1997 && Pontiac_Rageous | productionEndYear | 1997 && Pontiac_Rageous | bodyStyle | Coupe && Pontiac_Rageous | manufacturer | Pontiac
Pontiac_Rageous | productionStartYear | 1997 && Pontiac_Rageous | productionEndYear | 1997 && Pontiac_Rageous | bodyStyle | Coupe && Pontiac_Rageous | manufacturer | Pontiac
Pontiac_Rageous | productionStartYear | 1997 && Pontiac_Rageous | productionEndYear | 1997 && Pontiac_Rageous | bodyStyle | Coupe && Pontiac_Rageous | manufacturer | Pontiac
Death_on_a_Factory_Farm | producer | Tom_Simon && Death_on_a_Factory_Farm | editor | Geof_Bartz && Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence && Death_on_a_Factory_Farm | runtime | 83.0
Death_on_a_Factory_Farm | producer | Tom_Simon && Death_on_a_Factory_Farm | editor | Geof_Bartz && Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence && Death_on_a_Factory_Farm | runtime | 83.0
Death_on_a_Factory_Farm | producer | Tom_Simon && Death_on_a_Factory_Farm | editor | Geof_Bartz && Death_on_a_Factory_Farm | musicComposer | Jamie_Lawrence && Death_on_a_Factory_Farm | runtime | 83.0
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && ENAIRE | city | Madrid && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Adolfo_Suárez_Madrid–Barajas_Airport | location | ""Madrid, Paracuellos de Jarama, San Sebastián de los Reyes and Alcobendas"""
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && ENAIRE | city | Madrid && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Adolfo_Suárez_Madrid–Barajas_Airport | location | ""Madrid, Paracuellos de Jarama, San Sebastián de los Reyes and Alcobendas"""
"Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && ENAIRE | city | Madrid && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Adolfo_Suárez_Madrid–Barajas_Airport | location | ""Madrid, Paracuellos de Jarama, San Sebastián de los Reyes and Alcobendas"""
"Super_Capers | writer | Ray_Griggs_(director) && Super_Capers | runtime | 98.0 && Super_Capers | starring | Tom_Lister,_Jr. && Super_Capers | gross | 30955.0"
"Super_Capers | writer | Ray_Griggs_(director) && Super_Capers | runtime | 98.0 && Super_Capers | starring | Tom_Lister,_Jr. && Super_Capers | gross | 30955.0"
"Super_Capers | writer | Ray_Griggs_(director) && Super_Capers | runtime | 98.0 && Super_Capers | starring | Tom_Lister,_Jr. && Super_Capers | gross | 30955.0"
"Acharya_Institute_of_Technology | city | Bangalore && Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar"" && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | city | Bangalore"
"Acharya_Institute_of_Technology | city | Bangalore && Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar"" && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | city | Bangalore"
"Acharya_Institute_of_Technology | city | Bangalore && Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar"" && Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University && Acharya_Institute_of_Technology | city | Bangalore"
"Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | leaderTitle | ""City Manager"" && Ciudad_Ayala | type | City && Ciudad_Ayala | populationDensity | 1604.0"
"Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | leaderTitle | ""City Manager"" && Ciudad_Ayala | type | City && Ciudad_Ayala | populationDensity | 1604.0"
"Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | leaderTitle | ""City Manager"" && Ciudad_Ayala | type | City && Ciudad_Ayala | populationDensity | 1604.0"
"ALCO_RS-3 | buildDate | ""May 1950 - August 1956"" && ALCO_RS-3 | powerType | Diesel-electric_transmission && ALCO_RS-3 | builder | American_Locomotive_Company && ALCO_RS-3 | length | 17068.8 (millimetres)"
"ALCO_RS-3 | buildDate | ""May 1950 - August 1956"" && ALCO_RS-3 | powerType | Diesel-electric_transmission && ALCO_RS-3 | builder | American_Locomotive_Company && ALCO_RS-3 | length | 17068.8 (millimetres)"
"ALCO_RS-3 | buildDate | ""May 1950 - August 1956"" && ALCO_RS-3 | powerType | Diesel-electric_transmission && ALCO_RS-3 | builder | American_Locomotive_Company && ALCO_RS-3 | length | 17068.8 (millimetres)"
"Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
"Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
"Alan_B._Miller_Hall | architect | Robert_A._M._Stern && Alan_B._Miller_Hall | address | ""101 Ukrop Way"" && Alan_B._Miller_Hall | currentTenants | Mason_School_of_Business && Alan_B._Miller_Hall | owner | College_of_William_&_Mary"
English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | runtime | 89.0 && English_Without_Tears | cinematography | Bernard_Knowles
English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | runtime | 89.0 && English_Without_Tears | cinematography | Bernard_Knowles
English_Without_Tears | musicComposer | Nicholas_Brodszky && English_Without_Tears | editing | Alan_Jaggs && English_Without_Tears | runtime | 89.0 && English_Without_Tears | cinematography | Bernard_Knowles
Dijon | country | France && France | governmentType | Unitary_state && University_of_Burgundy | numberOfStudents | 27400 && University_of_Burgundy | campus | Dijon
Dijon | country | France && France | governmentType | Unitary_state && University_of_Burgundy | numberOfStudents | 27400 && University_of_Burgundy | campus | Dijon
Dijon | country | France && France | governmentType | Unitary_state && University_of_Burgundy | numberOfStudents | 27400 && University_of_Burgundy | campus | Dijon
Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 3500.0 && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Adolfo_Suárez_Madrid–Barajas_Airport | location | San_Sebastián_de_los_Reyes
Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 3500.0 && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Adolfo_Suárez_Madrid–Barajas_Airport | location | San_Sebastián_de_los_Reyes
Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE && Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 3500.0 && Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0 && Adolfo_Suárez_Madrid–Barajas_Airport | location | San_Sebastián_de_los_Reyes
"ALCO_RS-3 | buildDate | ""May 1950 - August 1956"" && ALCO_RS-3 | builder | American_Locomotive_Company && ALCO_RS-3 | cylinderCount | 12 && ALCO_RS-3 | length | 17068.8 (millimetres)"
"ALCO_RS-3 | buildDate | ""May 1950 - August 1956"" && ALCO_RS-3 | builder | American_Locomotive_Company && ALCO_RS-3 | cylinderCount | 12 && ALCO_RS-3 | length | 17068.8 (millimetres)"
"ALCO_RS-3 | buildDate | ""May 1950 - August 1956"" && ALCO_RS-3 | builder | American_Locomotive_Company && ALCO_RS-3 | cylinderCount | 12 && ALCO_RS-3 | length | 17068.8 (millimetres)"
"AmeriGas | city | King_of_Prussia,_Pennsylvania && King_of_Prussia,_Pennsylvania | type | Census-designated_place && AmeriGas | regionServed | United_States && United_States | leader | Paul_Ryan"
"AmeriGas | city | King_of_Prussia,_Pennsylvania && King_of_Prussia,_Pennsylvania | type | Census-designated_place && AmeriGas | regionServed | United_States && United_States | leader | Paul_Ryan"
"AmeriGas | city | King_of_Prussia,_Pennsylvania && King_of_Prussia,_Pennsylvania | type | Census-designated_place && AmeriGas | regionServed | United_States && United_States | leader | Paul_Ryan"
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | birthDate | 1908-05-02 && Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | birthPlace | German_Empire
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | birthDate | 1908-05-02 && Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | birthPlace | German_Empire
Liselotte_Grschebina | birthPlace | Karlsruhe && Liselotte_Grschebina | birthDate | 1908-05-02 && Liselotte_Grschebina | deathDate | 1994-06-14 && Liselotte_Grschebina | birthPlace | German_Empire
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && Bedford_Aerodrome | runwayLength | 1095.0 && Bedford_Aerodrome | cityServed | Bedford_Autodrome && Bedford_Aerodrome | icaoLocationIdentifier | EGBF
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && Bedford_Aerodrome | runwayLength | 1095.0 && Bedford_Aerodrome | cityServed | Bedford_Autodrome && Bedford_Aerodrome | icaoLocationIdentifier | EGBF
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && Bedford_Aerodrome | runwayLength | 1095.0 && Bedford_Aerodrome | cityServed | Bedford_Autodrome && Bedford_Aerodrome | icaoLocationIdentifier | EGBF
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && MotorSport_Vision | foundedBy | Jonathan_Palmer && MotorSport_Vision | foundingYear | 2004 && Bedford_Aerodrome | location | Thurleigh
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && MotorSport_Vision | foundedBy | Jonathan_Palmer && MotorSport_Vision | foundingYear | 2004 && Bedford_Aerodrome | location | Thurleigh
Bedford_Aerodrome | operatingOrganisation | MotorSport_Vision && MotorSport_Vision | foundedBy | Jonathan_Palmer && MotorSport_Vision | foundingYear | 2004 && Bedford_Aerodrome | location | Thurleigh
"Trane | foundationPlace | La_Crosse,_Wisconsin && La_Crosse,_Wisconsin | elevationAboveTheSeaLevel | 204.0 && Trane | revenue | 10264000000 && Trane | foundingDate | 1913-01-01"
"Trane | foundationPlace | La_Crosse,_Wisconsin && La_Crosse,_Wisconsin | elevationAboveTheSeaLevel | 204.0 && Trane | revenue | 10264000000 && Trane | foundingDate | 1913-01-01"
"Trane | foundationPlace | La_Crosse,_Wisconsin && La_Crosse,_Wisconsin | elevationAboveTheSeaLevel | 204.0 && Trane | revenue | 10264000000 && Trane | foundingDate | 1913-01-01"
Super_Capers | starring | Michael_Rooker && Super_Capers | distributor | Roadside_Attractions && Super_Capers | distributor | Lionsgate && Super_Capers | budget | 2000000.0
Super_Capers | starring | Michael_Rooker && Super_Capers | distributor | Roadside_Attractions && Super_Capers | distributor | Lionsgate && Super_Capers | budget | 2000000.0
Super_Capers | starring | Michael_Rooker && Super_Capers | distributor | Roadside_Attractions && Super_Capers | distributor | Lionsgate && Super_Capers | budget | 2000000.0
English_Without_Tears | releaseDate | 1944-07-28 && English_Without_Tears | producer | Anatole_de_Grunwald && English_Without_Tears | musicComposer | Nicholas_Brodszky && Nicholas_Brodszky | background | non_performing_personnel
