extracted_triple	utterance-1	utterance	utterance+1
('Phoebe', 'has-mom', 'Monica')	['Rachel', ' Well, isn’t that a good thing? You said you were sick of this.']	['Phoebe', ' I know. It’s just y’know usually when you’re, when you’re done with the pregnant thing, y’know, then you get to do the mom thing. I’m gonna be y’know, sitting around in my leather pants, drinking Tequila.']	['Monica', ' Some moms do that.']
('Chandler', 'has-mom', 'Ross')	['Ross', " No! Okay, you mean, you're not gonna talk to her, you're not gonna tell her how you feel?"]	['Chandler', " That would be no. Look, just because you played tonsil tennis with my mom doesn't mean you know her. Alright? Trust me, you can't talk to her."]	['Ross', " Okay, 'you' can't, or you can't? Okay, that's my finger. That's, that's my knee. Still doing the play. Aaah!"]
('Chandler', 'has-mom', 'Phoebe')	['Rachel', ' Just think, in a couple of years we get to turn into them.']	['Chandler', " If I turn into my parents, I'll either be an alcoholic blond chasing after twenty-year-old boys, or... I'll end up like my mom."]	['Phoebe', ' Hey.']
('Ross', 'has-mom', 'Chandler')	['Joey', ' The country?']	['Ross', " No no, this big pile of dishes in my mom's breakfront. Do you guys know who Carl is?"]	['Chandler', " Uh, let's see... Alvin... Simon... Theodore.... no."]
('Kathy', 'has-mom', 'Joey')	['Phoebe', ' They were threefold.']	['Kathy', ' Oh. Well uh, you not being able to talk may make this easier. Listen umm… Listen I don’t wanna be someone who comes between two best friends. I just, I can’t stand seeing what this is doing to you guys, and I don’t wanna be the cause of that. So, I don’t think we can see each other anymore. I’m gonna go to my mom’s in Chicago, I’m gonna stay there for awhile. I think this could’ve be something really amazing, but y’know this is probably for the best. Y’know? I’m gonna miss you. Good-bye, Chandler. ']	['Joey', ' Open the box!!']
('Phoebe', 'has-mom', 'Alice')	['Rachel', ' Ooh, it was only okay.']	['Phoebe', ' Ooh, I can’t do this. My mom was right. If I can’t-if I can’t give him up, then there’s no way I can give up a baby. Ohh, God, Frank and Alice are gonna be so crushed. What-what else, what else can I give ‘em—a kidney!']	['Alice', ' Hi!']
('Rachel', 'has-dad', 'Monica')	['Jill', ' That he wouldn’t pay for my lawyer! Then he told me to come here and learn about the value of money from the one daughter he’s actually proud off.']	['Rachel', ' Oh! Did you hear that?! My dad’s proud of me! My dad’s proud of me.']	['Monica', ' Rach?']
('Monica', 'has-mom', 'Phoebe')	['Phoebe', ' Wooo!! Hoo!!']	['Monica', ' I really like to say that I’m-um… Y’know what I’d really like to say? I’m drunk!! That’s right mom and dad your little Harmonica is hammered!! And guess what! I’ve been drunk before! And I’ve smoked a cigarette! And I got a box of Ding-Dongs hidden in my underwear drawer! It’s all okay. It’s okay because I turned thirty today. And, and I can do anything I want! Because I am a grown up.']	['Phoebe', ' Okay quick, help me get this off!']
('Phoebe', 'has-mom', 'Joey')	['Monica', ' Oh man! I did it again!']	['Phoebe', ' Okay, so umm, somebody has to call Frank and Alice. And then my mom wants to know--Joey, what are you doing?!']	['Joey', ' I gotta get the before shot!']
('Phoebe', 'has-mom', 'Chandler')	['Monica', ' Well, no. But, um, I bet she probably does.']	['Phoebe', ' Probably? Yeah, I don\'t like that word. Kind of what ‘probably’ really means. Yeah, uh-huh. Yeah, oh, "Your mom probably won\'t kill herself," y’know? I\'m sorry, but I\'m not hanging all my hopes of Rachel and I living together on-on "Probably!" Y’know? You gotta take care of yourselves! In this world history teaches us nothing!']	['Chandler', " Bing doesn't seem so weird now, does it?"]
('Rachel', 'has-mom', 'Ross')	['Ross', ' Wow! It looks like we got a lot of good stuff.']	['Rachel', ' Oh we did, but my mom got us the greatest gift of all.']	['Ross', ' A Play-Dough Barber Shop?']
('Phoebe', 'has-mom', 'Phoebe')	['Monica', " Hey, what's that?"]	['Phoebe', " Yeah, my mom sent me a family heirloom that once belonged to my grandmother. Can you believe it?! A year ago I didn't even have a family, and now I have heirlooms for crying out loud."]	['Phoebe', ' Eeeee--ohh!! God!']
('Tom', 'has-mom', 'Rachel')	['Danny', " You two could really hit it off! I'm gonna go mingle."]	['Tom', " So you work at Bloomingdale's, huh? My mom calls it Bloomies."]	['Rachel', ' Yeah, okay, at ease solider!']
('Paul', 'has-mom', 'Chandler')	['Rachel', ' Oh my God, what a great surprise! This is such a beautiful house.']	['Paul', ' Thank you, it’s my mom’s. So this is the kitchen.']	['Chandler', ' You’ve reached Monica and Chandler’s, if you’re listening to this message, we’re probably screening. Yeah we are.']
('Monica', 'has-mom', 'Chandler')	['Ross', ' No.']	['Monica', ' My God, I can’t believe this! I mean I knew that mom and dad were invited, but I thought that was it! I mean from the ages 7 to 9 Frannie and I were inseparable!']	['Chandler', ' Well, maybe since the age of 9, Frannie’s made some new friends.']
('Ross', 'has-mom', 'Phoebe')	['Monica', ' Look at this.']	['Ross', ' Oh, it looks like mom and dad’s house. Oh, it even has a tree with a broken limb out front and the uh, the window in the attic is…Oh my God!!']	['Phoebe', ' What? What happened to the window in the attic?!']
('Phoebe', 'has-mom', 'Earl')	['Earl', ' I thought it was toner.']	['Phoebe', ' No! Think about it okay? This isn’t even my regular job! Okay? And my first day on the job, you’re my first call! And-and somebody else might’ve hung up on you, but I wouldn’t do that because I know about this stuff. My mom killed herself.']	['Earl', ' Really?!']
('Ursula', 'has-mom', 'Phoebe')	['Ursula', ' Yeah, I got a big box of family stuff when my mom died.']	['Phoebe', ' Our mom.']	['Ursula', ' Right! Okay.']
('Chandler', 'has-mom', 'Monica')	['Monica', ' Chandler, look I-I know that your dad embarrassed you. I know…']	['Chandler', ' No-no all kids are embarrassed by their parents, you’d have to come up with a whole new word for what I went through. When I was in High School, he used to come to all of my swim meets dressed as a different Hollywood starlet. Y’know it’s hard enough to be fourteen. You’re skinny. You’re wearing speedoes—That your mom promised that you would grow into! And you look up into the stands and there’s your dad cheering you on dressed as Carmen Miranda. We was wearing a headdress with real fruit that he will later hand out to your friends as a healthy snack!']	['Monica', ' Hey, the point is that he was at everyone of your swim meets and he was there cheering you on! Okay? That’s a, that’s a pretty great dad.']
('Joey', 'has-mom', 'Chandler')	['Ross', ' Oh see, before you uh, when you showed it to me you-you held it that way which uh, which was misleading. Well I’m… Hello.']	['Joey', ' Chandler. Will you see if your mom can give my resume to Dennis Phillips? ‘Cause if I can get in a Broadway show then I would’ve done it all, film, television, and theater. The only think left would be radio, and that’s just for ugly people.']	['Chandler', ' What size shoes do you wear?']
('Dina', 'has-mom', 'Joey')	['Joey', ' Because! ‘Cause… ‘Cause you’re my baby sister!']	['Dina', ' And you’re my big brother! I mean, you’re my favorite guy in the whole world. I’m not even scared to tell mom and dad. I was scared of telling you.']	['Joey', ' Well I’d be scared of them, but all right.']
('Joey', 'has-dad', 'Rachel')	['Rachel', ' And so were-were you close to your parents?']	['Joey', ' Yeah, with my mom. Yeah, not so much with my dad.']	['Rachel', ' Why not?']
('Monica', 'has-parents', 'Mrs. Geller')	['Monica', ' Okay it’s time for the toast! Umm now-now, I know that Ross usually gives the toast, but this year I’m going to do it.']	['Monica', ' No, no it’s going to be great. Really! Mom, Dad, when I got married, one of the things that made me sure I could do it was the amazing example the two of you set for me. For that and so many other things I want to say thank you. I know I probably don’t say it enough, but I love you. When I look around this room, I’m-I’m saddened by the thought of those who could not be here with us. Nana, my beloved grandmother who would so want to be here, but she can’t because she’s dead. As is our dog Chi-Chi. I mean look how cute she is.. Was. Do me a favor and pass this to my parents. Remember she’s dead. Okay, her and Nana, gone. Wow! Hey does anybody remember when Debra Winger had to say goodbye to her children in Terms of Endearment? Didn’t see that? No movie fans?! You want to hear something sad? The other day I was watching 60 Minutes these orphans in Romania, who have been so neglected, they were incapable of love. You people are made of stone! Here’s to mom and dad! Whatever!']	['Mrs. Geller', ' Thank you Monica that was uh, interesting. Wasn’t it interesting, Jack?']
('Rachel', 'has-mom', 'Monica')	['Monica', ' Oh my God, your mother!']	['Rachel', ' What?! My mom’s not gonna be here?!']	['Monica', ' Well, given that we forgot to invite her it would be an awfully big coincidence if she was.']
('Rachel', 'has-mom', 'Phoebe')	['Monica', ' Okay, y’know what? Don’t worry, okay? We’ll take care of it. We’ll call her. Just go home and get ready.']	['Rachel', ' Please, make sure she comes. It’s really important to me, I mean it’s my mom!']	['Phoebe', ' I know. I know, what’s her number?']
('Rachel', 'has-mom', 'Mrs. Green')	['Mrs. Green', ' Of course I am!']	['Rachel', ' Oh mom, I swear I’m not an idiot. I’ve read all kinds of books on pregnancy and giving birth, but I-I just didn’t think to read the part about what to do when the baby comes. And-and then guess what? The baby’s coming and I don’t know what to do. Oh, can I throw up in my diaper genie?']	['Mrs. Green', ' No. Sweetie, you’re gonna be fine.']
('Joanne', 'has-dad', 'Kiki')	['Rachel', " So what's going on with you? "]	['Joanne', " Well, guess who my dad's making partner in his firm? "]	['Kiki', " And while we're on the subject of news.. "]
('Pizza Guy', 'has-dad', 'Monica')	['Rachel', " No, no, that's not what we ordered... We ordered a fat-free crust with extra cheese. "]	['Pizza Guy', " Wait, you're not 'G.Stephanopoulos?' Man, my dad's gonna kill me! "]	['Monica', " Wait! Did you say 'G.Stephanopoulos?' "]
('Joey', 'has-dad', 'All')	['Ross', ' Ohh, Geller’s got one hooked! Ohh! Looks like a big one! Yeah, ohh! Ohh! It’s the classic struggle between man and— Someone knocked over a lamp.']	['Joey', ' That’s all right. Hey you guys, you know what’s going to be great about the fishing trip this year? When my dad gets me out in the middle of the lake and gives me that, "Joey, what are you doing with your life?" stuff. I can say, "Well, I’m doing a movie with Charlton Heston dad. What are you doing with your life?"']	['All', ' Great!']
('Joey', 'has-dad', 'Ronni')	['Ronni', " Wow. He's strict."]	['Joey', " Now dad, you'll be in my room, Ronni uh, you can stay in Chandler's room."]	['Ronni', " Thanks. You're, uh, you're a good kid."]
('Joey', 'has-dad', 'Chandler')	['Chandler', ' Are they end to end, or tall like pancakes?']	['Joey', " Y'know what I mean, about how I'm always going out with all these women. And I always figured, when the right one comes along, I'd be able to be a stand-up guy and go the distance, y'know? Now I'm looking at my dad, thinking..."]	['Chandler', " Hey, you're not him. You're you. When they were all over you to go into your father's pipe-fitting business, did you cave?"]
('Ross', 'has-dad', 'Mr. Geller')	['Mr. Geller', ' I don’t know. They-they must be your mother’s, but please, please don’t ask her. I’ll throw these away.']	['Ross', ' Cool! Dad! My report cards! Hey, check this out dad, Math, A. Science, A. History, A. Gym… Oooh, my rock polisher!']	['Mr. Geller', ' Oh look, look there’s your old makeup kit!']
('Monica', 'has-dad', 'Rachel')	['Ross', ' Wow! Thanks, you guys. That’s uh—ohhh, I wanna, I wanna play you another piece! Umm! Uh-oh! I left my uh, helicopter sounds on another disk. I’ll be right back! Okay? This is so nice, I’m—I am so…']	['Monica', ' Oh God bless my dad sound proofing the basement!']	['Rachel', ' Oh, I can’t believe I ever let him touch me with those fingers.']
('Rachel', 'has-dad', 'Ross')	['Ross', ' Hey, I can handle it! All right?']	['Rachel', ' Please, Ross, you-you got hurt playing badminton with my dad.']	['Ross', ' That’s ‘cause-‘cause you’re mom’s dog kept-kept looking at me.']
('Ross', 'has-dad', 'Emily')	['Emily', ' Oh my God!']	['Ross', ' I made a man twice my size cry. I mean, I haven’t done that since I was four and I washed my dad’s Porsche with rocks.']	['Emily', ' You really enjoyed yourself didn’t you?']
('Joey', 'has-dad', 'Ross')	['Chandler', ' Forget it! Okay, I’m not giving up the apartment.']	['Joey', ' Oh come—look, when I was a kid my dad’s company gave season tickets to the number one salesman every year, all right? My dad never won! Of course, he wasn’t in the sales division, but still, I never ever, ever forgot that!']	['Ross', ' Hey, guys!']
('Phoebe', 'has-dad', 'Chandler')	['Ross', ' What happened?']	['Phoebe', ' That was my dad!']	['Chandler', ' Oh my God!']
('Phoebe', 'has-dad', 'Rachel')	['Joey', " Y'know what? Make fun all you want. This is a great bag! Okay? And it's as handy as it is becoming. Now, just because you don't understand something, doesn't make it wrong. All right? So from now on you guys are gonna have to get used to the fact that Joey, comes with a bag!"]	['Phoebe', " All right, I'd better go too. I have to go talk to my dad."]	['Rachel', ' Ooh, Pheebs, what are you gonna say? Are you gonna tell him who you are?']
('Rachel', 'has-dad', 'Rachel')	['Kim', ' Rachel? Do you smoke?']	['Rachel', " Oh no, my dad's a doctor and he would always tell me just horror stories……about ghosts and goblins who totally supported the princess's right to smoke."]	['Rachel', ' …and then they came back from smoking and they had made all of the decisions without me!']
('Ross', 'has-dad', 'Chandler')	['Ross', ' I went to Egypt with my dad.']	['Chandler', ' I can see it now, "Look dad, it’s the Sphinx!"']	['Ross', ' Hey, I think Elizabeth is a little more serious than, "Spring break!" All right? I mean she’s taken my class!']
('Elizabeth', 'has-dad', 'Rachel')	['Elizabeth', ' Ohh, I wouldn’t do it in there. That’s my dad’s bedroom.']	['Rachel', ' That’s your, that’s your dad’s bedroom. That’s your dad’s bedroom!']	['Paul', ' Why are you yelling?']
('Paul', 'has-dad', 'Chandler')	['Chandler', ' I’m a little busy here Paul.']	['Paul', ' That’s exactly what my dad used to say!']	['Chandler', ' Okay, a quick one. Come on hug it out. Oh hey! There you go. Okay.']
('Rachel', 'has-dad', 'Phoebe')	['Phoebe', ' Huh?']	['Rachel', ' I’m having dinner with my dad tomorrow night, do you wanna come?']	['Phoebe', ' Sure. Yeah, he’s kinda sexy.']
('Ross', 'has-dad', 'Monica')	['Ross', ' Now, I know you wanted to bond with my dad, but did you really have to bond to that part?']	['Monica', ' Listen, I’m sure that dad doesn’t care. He probably thought this was funny; he’ll be telling this story for years!']	['Chandler', ' I don’t want him to tell this story for years.']
('Ross', 'has-dad', 'Joey')	['Chandler', ' This is ridiculous. ']	['Ross', " Oh, is it? Is it? Look, when Monica and I were kids, we had a dog named Rover. And, uh, one day, my dad decides, he doesn't like dogs. So Monica and her friend…Phyllis…take away the dog. And that was the last time we ever saw him. Don't you see? This is just like that. Only with a few details changed. "]	['Joey', " Okay, I'm in my sweat pants. Bring on the food! What's the matter? "]
('Monica', 'has-dad', 'Ross')	['Phoebe', ' His first big kid’s bike, this is so exciting!']	['Monica', ' Oh yeah, I remember mine! Ohh, it was my sixth birthday, my dad took me to the park, I got it, and…it bent.']	['Ross', ' Yeah.']
('Chandler', 'has-dad', 'Ross')	['Phoebe', ' Well, we didn’t have a lot of money. But the girl across the street had the best bike! It was pink and it had rainbow colored tassels hanging off the handle grips, and-and-and a bell and this big, white wicker basket with those plastic daisies stuck on.']	['Chandler', ' That sounds like my first bike. My dad gave me his old one.']	['Ross', ' Ohh.']
('Monica', 'has-dad', 'Chandler')	['Chandler', ' Are you serious?! I mean like eloping?! No more stupid wedding stuff?! No more these flowers or these flowers or these flowers—Think of the money we’ll save!! We’re not eloping. I love the flowers. Can our wedding be bigger please?']	['Monica', ' We’re going to Las Vegas to see your dad. It’s time you two talked, and I want to get to know my father-in-law.']	['Chandler', ' Y’know we already went over this and I won!']
('Ross', 'has-dad', 'Phoebe')	['Monica', ' Look at this.']	['Ross', ' Oh, it looks like mom and dad’s house. Oh, it even has a tree with a broken limb out front and the uh, the window in the attic is…Oh my God!!']	['Phoebe', ' What? What happened to the window in the attic?!']
('Monica', 'has-dad', 'Phoebe')	['Phoebe', ' Wooo!! Hoo!!']	['Monica', ' I really like to say that I’m-um… Y’know what I’d really like to say? I’m drunk!! That’s right mom and dad your little Harmonica is hammered!! And guess what! I’ve been drunk before! And I’ve smoked a cigarette! And I got a box of Ding-Dongs hidden in my underwear drawer! It’s all okay. It’s okay because I turned thirty today. And, and I can do anything I want! Because I am a grown up.']	['Phoebe', ' Okay quick, help me get this off!']
('Chandler', 'has-dad', 'Monica')	['Monica', ' Honey, we gotta go!']	['Chandler', ' Okay. Here’s a question you never have to ask. My dad just called and wanted to know if he could borrow one of your pearl necklaces.']	['Monica', ' I don’t have anything like that, but let me go see if Rachel does.']
('Dina', 'has-dad', 'Joey')	['Joey', ' Because! ‘Cause… ‘Cause you’re my baby sister!']	['Dina', ' And you’re my big brother! I mean, you’re my favorite guy in the whole world. I’m not even scared to tell mom and dad. I was scared of telling you.']	['Joey', ' Well I’d be scared of them, but all right.']
('Mrs. Bing', 'has-son', 'All')	['Jay Leno', " Alright, so now you're doing this whole book tour thing, how is that going?"]	['Mrs. Bing', " Oh, fine. I'm leaving for New York tomorrow, which I hate- but I get to see my son, who I love..."]	['All', ' Awww!']
('Mrs. Bing', 'has-son', 'Chandler')	['Jay Leno', " Y'know, don't take this wrong, I-I just don't see you a-as a mom, somehow.. I don't mean that, I don't mean that bad..."]	['Mrs. Bing', ' Oh no, I am a fabulous mom! I bought my son his first condoms.']	['Chandler', ' ...And then he burst into flames.']
('Ross', 'has-son', 'Susan')	['Lydia', " Yeah, they're not so bad."]	['Ross', " Come on, come on. Damnit, damnit, damnit, damnit. This is all your fault. This is supposed to be, like, the greatest day of my life, y'know? My son is being born, and I should be in there, you know, instead of stuck in a closet with you."]	['Susan', " The woman I love is having a baby today. I've been waiting for this just as much as you have."]
('Ross', 'has-son', 'Ross')	['Salesman', ' Two days before Christmas? Sorry, man.']	['Ross', " Okay look, do-do, you have anything Christmassy? I promised my son, and I really don't want to disappoint him, um, come on, I…uh, you gotta have something."]	['Ross', " I'm the holiday armadillo! I'm a friend of Santa's and he sent me here to wish you a Merry Christmas!"]
('Ross', 'has-son', 'Emily')	['Emily', ' Yeah, but it-it-it’s my whole life—you come to England.']	['Ross', ' No, I can’t. I would, I really would, but my son is here; I can’t leave him. Isn’t—you don’t think there’s any way?']	['Emily', ' Ohh, I don’t think so. I mean it would be different if it was way into the future –and-and-and we were getting married or something.']
('Frank', 'has-son', 'Dr. Harad')	['Dr. Harad', ' All right. Keep pushing! Come on!']	['Frank', " I can't believe there's somebody coming out of you right now. There's somebody coming out of you! Is it? Is it? It's my son."]	['Dr. Harad', " All right. Here's your first baby."]
('Ross', 'has-son', 'Joey')	['Monica', ' Kinda. Oh my God!']	['Ross', ' Hello? Hey Mon, how’s the packing going? Ben? He’s fine. Yeah, he’s right—Oh my God! Get your head of your shirt there son! What? Yeah, it’s a pumpkin. I’ll come pack.']	['Joey', ' Hey!']
('Ross', 'has-son', 'Rachel')	['Rachel', ' That was you?! We heard about you in Junior High! Did you really just shake your fist in the air and shout, "I will be revenged?!"']	['Ross', ' I will be! Listen, I don’t want you teaching my son that stuff anymore. Okay?']	['Rachel', ' Fine. Fine, but I’ll have you know that once I taught him that stuff he called me Fun Aunt Rachel. And I loved being Fun Aunt Rachel but I’ll go back to being Boring and Uncomfortable Aunt Rachel if that’s what you want!']
('Ross', 'has-son', 'Katie')	['Rachel', ' All this stuff takes up a lot of room. Hey how uh, how serious are you about keeping Ben in your life?']	['Ross', ' My son? Pretty serious. Oh hey Katie! What uh, what are you doing here?']	['Katie', ' Well, the delivery went out to you and I realized they forgot this.']
('Ross', 'has-daughter', 'Mr. Waltham')	['Mr. Waltham', ' Goodbye Geller.']	['Ross', ' Now, hold on! Hold on! Look, look, your daughter and I are supposed to leave tonight for our honeymoon, now-now you-you tell her that I’m gonna be at that airport and I hope that she’ll be there too! Oh yeah, I said Rachel’s name, but it didn’t mean anything, Okay? She’s-she’s just a friend and that’s all! That’s all! Now just tell Emily that I love her and that I can’t imagine spending my life with anyone else. Please, promise me that you’ll tell her that.']	['Mr. Waltham', ' All right, I’ll tell her. Come on bugger face!']
('Phoebe', 'has-daughter', 'Frank Sr.')	['Frank Sr.', " Oh. Huh. It's huh, well it's oh it's—ew used. Umm, cool."]	['Phoebe', " Okay. I have just a few questions to ask so I'm going to get out my official forms. Okay, so, question 1) You and uh, you were married to Francis' daughter Lilly, is that correct?"]	['Frank Sr.', ' Yes, yes I was.']
('Jill', 'has-daughter', 'Rachel')	['Rachel', ' Wow! What did he say?']	['Jill', ' That he wouldn’t pay for my lawyer! Then he told me to come here and learn about the value of money from the one daughter he’s actually proud off.']	['Rachel', ' Oh! Did you hear that?! My dad’s proud of me! My dad’s proud of me.']
('Paul', 'has-daughter', 'Ross')	['Elizabeth', ' Okay. I didn’t know he was here.']	['Paul', ' Let me just see if I got this straight. I tell you to stay away from my daughter or I’ll have you fired. What you heard was, "Take my daughter, come up to my country house, and ruin my weekend with Rachel!"']	['Ross', ' Okay, please-please Paul, just let me explain…']
('Phoebe', 'has-daughter', 'Ross')	['Ross', ' Excuse me ladies. I’m sorry?']	['Phoebe', ' My massage client, Arthur? His daughter called and said that some guy that worked for me gave him a really weird massage this afternoon.']	['Ross', ' I gave him an extremely professional massage!']
('Dr. Green', 'has-daughter', 'Ross')	['Ross', ' Yes. Yes, yes I did. But-but it was, it was just a one night thing. It meant nothing.']	['Dr. Green', ' Oh? Really? That’s what my daughter means to you? Nothing?']	['Ross', ' No! No sir umm, she means a lot to me. I mean, I care—I-I love Rachel.']
('Mrs. Green', 'has-daughter', 'Monica')	['Monica', ' Hi, umm I know this is last minute, but we’ve decided to throw an impromptu baby shower for Rachel today.']	['Mrs. Green', ' I know, my daughter’s told me about it when they received their impromptu invitations a month ago.']	['Monica', ' Yeah, I’m sorry. I’m-I’m so sorry.']
('Rachel', 'has-niece', 'Ross')	['Ross', ' That’s right good things, that-that is what I said.']	['Rachel', ' Hello, Mark? Hi, it’s Rachel Green. Oh no, don’t you apologize. Yeah, I’ll hold. He left my number at work, but he was helping his niece with her report on the pioneers.']	['Ross', ' That is so made up!']
('Mr. Waltham', 'has-niece', 'Rachel')	['Rachel', ' Yes.']	['Mr. Waltham', ' I-I was wondering, my niece you see is in from London—well Shropshire really but y’know—well she’s about your age I say. Anyway I have tickets for the opera, Die Fledermaus, and I was wondering if you’d like to keep her company this evening?']	['Rachel', ' Sure. You got it. Great! ']
('Joey', 'has-parents', 'Monica')	['Monica', ' All right that’s it, I give up! Whatever you want you can have it! You wanna sing a song? You wanna do a dance? You want your mom stand at the Alter and scream racial slurs? I don’t care!']	['Joey', ' No! No, I-I just wanna thank you guys for what you did for my parents, that was really sweet. They’re so happy they get to be a part of your special day.']	['Monica', ' Oh.']
('Phoebe', 'has-twin', 'Malcom')	['Malcom', " So you spied on me. I can't believe you don't trust me."]	['Phoebe', " Oh well, what do you know, there goes my identical twin sister. Just walkin' along looking like me. What, is this just like a freakish coincidence, or did you know she takes this train?"]	['Malcom', " I'm sorry. I'm sorry. I tried to stop, but I couldn't. I'm so pathetic."]
('Joey', 'has-twin', 'Chandler')	['Chandler', ' Who the hell is Carl?!']	['Joey', ' Oh, did I not mention? Carl is a guy I hired to be my identical twin for a medical research project.']	['Chandler', ' Y’know sometimes the good ideas are just right in front of you, aren’t they?']
('Joey', 'has-twin', 'Phoebe')	['Phoebe', ' Yeah?']	['Joey', ' I found my identical hand twin!']	['Phoebe', " Ohh, you are so lucky! Hey! So, where's Monica? Did you guys make up?"]
('Joey', 'has-twin', 'Ross')	['Rachel', ' Hey!']	['Joey', ' Look-look-look you guys, I need some help! Okay? Someone is going to have to convince my hand twin to cooperate!']	['Ross', " I'll do it. Hey, whatever you need me to do, I'm your man. Whoa-oh-whoa! Are you, are you okay?"]
('Phoebe', 'has-aunt', 'Rachel')	['Rachel', ' Phoebe, what? Umm...what?!']	['Phoebe', ' Yeah, yeah, first there was my aunt Mary, and then there was umm, John, my mailman, and then my, my cowboy friend ‘Albino Bob’.']	['Rachel', ' And all these people actually died?']
('Kathy', 'has-aunt', 'Chandler')	['Chandler', ' Really?! You do that?']	['Kathy', ' Yeah, I do. Of course, I learned at my aunt’s dog grooming shop, but hey, what do you say?']	['Chandler', ' Dog grooming huh? Okay, just don’t make my tail too poofy.']
('Rachel', 'has-aunt', 'Ross')	['Joey', " But you haven't even heard the chorus!"]	['Rachel', " Oh my God, I'm starting to look like my great aunt, Muriel."]	['Ross', " All right. Y'know what? We don’t have to go downstairs! We can bring Vegas up to us! All right, come on, come on, we'll play some blackjack. Here we go. 13."]
('Ross', 'has-uncle', 'Phoebe')	['Luisa', ' Marcel?']	['Ross', ' My uncle Marcel.']	['Phoebe', " Oh, is that who the monkey's named after?"]
('Ross', 'has-uncle', 'Carol')	['Carol', ' What does he look like?']	['Ross', ' Kinda like my uncle Ed, covered in Jell-o.']	['Carol', ' Really?']
('Emily', 'has-uncle', 'Ross')	['Chandler', ' Without me?!']	['Emily', ' My uncle dragged us there. But, it actually it turned out to be really interesting.']	['Ross', ' Yeah.']
('Dina', 'has-uncle', 'Joey')	['Joey', ' Well I’d be scared of them, but all right.']	['Dina', ' Joey, I can’t stand the thought of having this baby with you mad at me. I want him to have his uncle. Is my baby gonna have his Uncle Joey?']	['Joey', ' Of course he’s gonna have his Uncle Joey!']
('Chandler', 'has-uncle', 'Joey')	['Phoebe', ' Bing, what an unusual name.']	['Chandler', ' Well you should meet my uncle, Bada. I’ll let myself out.']	['Joey', ' Hi.']
('Ross', 'has-child', 'Mrs. Geller')	['Monica', " So, Ross, what's going on with you? Any stories? No news, no little anecdotes to share with the folks? "]	['Ross', " Okay! Okay. Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby. "]	['Mrs. Geller', ' And you knew about this?! ']
('Ross', 'has-child', 'Monica')	['Monica', ' All right, I know you’re hurting, and-and I want to be supportive, but don’t say that again.']	['Ross', ' Oh my God! What if, what if they get married? Then he’d be the stepfather of my child.']	['Monica', ' Honey, I don’t think that’s something we need to worry about! First of all he’s-he’s never gonna tell her how he feels about her. And even if he did you have no idea how she’d react.']
('Ross', 'has-child', 'Phoebe')	['Phoebe', ' Holy mother of God!!!']	['Ross', ' With my child.']	['Phoebe', ' That is brand new information!!']
('Phoebe', 'has-children', 'Ross')	['Susan', ' Yes.']	['Phoebe', " Hey, hey, ok, all right, that's it! Get in here. Come on. My god, you guys, I don't believe you. There are children coming into the world in this very building and your negative fighting noises are not the first thing they should be hearing. So just stop all the yelling, just stop it!"]	['Ross', ' Yeah, Susan.']
('Frank', 'has-children', 'Frank')	['Frank', ' Okay, okay, come on, you can do it. You can do it!']	['Frank', " Yeah!! Little Leslie is here! We got another one! Oh my God, I can't believe I have two-two children. How scary is that?"]	['Frank', " Come on little Chandler, it's time to be born. Come on little Chandler! Come on!"]
('Monica', 'has-children', 'Phoebe')	['Chandler', ' Dying people say the craziest things.']	['Monica', ' I wanted it for years! I was gonna make cookies for my children.']	['Phoebe', ' Break my heart—Oh, all right.']
('Monica', 'has-parent', 'Phoebe')	['Joey', " I can't! It-it's stuck!"]	['Monica', " Well, I don't care! That-that turkey has to feed 20 people at my parent's house and they're not gonna eat it off your head!"]	['Phoebe', " All right, hold on! Okay, let's just all think."]
('Joey', 'has-parent', 'Monica')	['Monica', ' I know! I know! I am a terrible person! I mean, Chandler is never going to trust me with anything ever again!']	['Joey', ' Oh hey! You got my parent’s gift!']	['Monica', ' Yeah. What is that?']
('Rachel', 'has-parents', 'Monica')	['Chandler', ' Oh, how well you know me... ']	['Rachel', " They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots! "]	['Monica', " How'd you pay for them? "]
('Monica', 'has-parents', 'Chandler')	['Chandler', ' Yes!!']	['Monica', ' Oh no! My parents have never seen me drunk! That they know of.']	['Chandler', ' Okay, here’s the thing. We’re gonna get you some coffee and they will never know that you’re drunk.']
('Chandler', 'has-parents', 'Rachel')	['Phoebe', ' Him? Him, Ross?']	['Chandler', ' Nope, hymn 253, His Eyes Are On The Sparrow! When my parents got divorced is when I started using humour as a defence mechanism.']	['Rachel', ' Hi! Uhh, do you guys have plans for the weekend? Because I have my sister on hold, and she said that we could use her cabin for the weekend and go skiing. Huh? I’m asking you first, right?!. I mean I’m playing by the rules.']
('Rachel', 'has-parents', 'Chandler')	['Joey', " It's like if you woke up one day and found out your dad was leading this double life. He's like actually some spy, working for the C.I.A. That'd be cool.... This blows!"]	['Rachel', " I know, I mean, why can't parents just stay parents? Why do they have to become people? Why do they have... Why can't you stop staring at my breasts?"]	['Chandler', ' What? What?']
